Student_ID,Name,Age,Gender,Attendance,Study_Hours,Assignments,Internal_Marks,Previous_GPA,Internet_Usage,Extracurricular,Result
106,Keerthi106,21,Female,90,6,4,63,7.17,8,No,Pass
107,Charan107,20,Male,67,3,5,52,4.69,1,No,Fail
108,Sandhya108,19,Female,52,2,5,96,8.22,2,No,Pass
109,Venu109,23,Male,60,7,6,54,8.73,5,No,Pass
110,Harini110,19,Female,57,5,7,34,7.18,4,No,Pass
111,Gopi111,19,Male,58,1,6,89,4.88,3,Yes,Pass
112,Sruthi112,21,Female,95,7,6,99,5.24,5,Yes,Pass
113,Naveen113,22,Male,66,2,10,84,9.71,3,Yes,Pass
114,Aparna114,21,Female,55,7,10,63,8.85,5,Yes,Pass
115,Ramesh115,21,Male,84,2,4,92,6.81,4,No,Pass
116,Shalini116,18,Female,51,8,3,94,7.87,2,Yes,Pass
117,Pradeep117,19,Male,52,2,9,53,9.49,7,No,Pass
118,Mounika118,19,Female,95,2,6,68,8.73,4,Yes,Pass
119,Tarun119,20,Male,69,4,6,80,5.81,1,No,Pass
120,Priya120,22,Female,53,4,4,55,6.8,6,No,Fail
